# VMT_RVA	ClassName	InstanceSize	ParentVMT	PublishedMethodCount
4f0200	TLoginCredentialService	0x10	0x401970	0
4f0650	TEnumerator<System.Int64>	0x10	0x401970	0
4f0820	TEnumerable<System.Int64>	0x10	0x401970	0
4f0c50	TRegGroup	0x30	0x401970	0
4f1258	TRegGroups	0x20	0x401970	0
4f27f0	TEnumerator<System.Classes.TPersistentClass>	0x10	0x401970	0
4f29f0	TEnumerable<System.Classes.TPersistentClass>	0x10	0x401970	0
4f34e8	TDictionary<System.string,System.Classes.TPersistentClass>	0x60	0x4f1c18	0
4f43e8	TList<System.Classes.TPersistentClass>.TEnumerator	0x20	0x4f2740	0
4f4678	TList<System.Classes.TPersistentClass>	0x58	0x4f2940	0
4f5d70	TEnumerator<System.Classes.TRegGroup>	0x10	0x401970	0
4f5f60	TEnumerable<System.Classes.TRegGroup>	0x10	0x401970	0
4f6460	TList<System.Classes.TRegGroup>.TEnumerator	0x20	0x4f5cc0	0
4f66e0	TList<System.Classes.TRegGroup>	0x58	0x4f5eb0	0
4f7d70	TObjectList<System.Classes.TRegGroup>	0x60	0x4f6630	0
4f9c00	TIntConst	0x28	0x401970	0
4f9e58	TEnumerator<System.Classes.TIntConst>	0x10	0x401970	0
4fa048	TEnumerable<System.Classes.TIntConst>	0x10	0x401970	0
4fa548	TList<System.Classes.TIntConst>.TEnumerator	0x20	0x4f9da8	0
4fa7c8	TList<System.Classes.TIntConst>	0x58	0x4f9f98	0
4fbe58	TThreadList<System.Classes.TIntConst>	0x28	0x401970	0
4fc658	TEnumerator<System.Classes.TFindGlobalComponent>	0x10	0x401970	0
4fc858	TEnumerable<System.Classes.TFindGlobalComponent>	0x10	0x401970	0
4fcdc0	TList<System.Classes.TFindGlobalComponent>.TEnumerator	0x20	0x4fc5a8	0
4fd058	TList<System.Classes.TFindGlobalComponent>	0x58	0x4fc7a8	0
4fe938	TFieldsCache.TFields	0x20	0x401970	0
