# FuncRVA	QualifiedName
c0a3a0	TMEnvEditor.EnvVisualGesture
c12d30	TMEnvEditor.EditVolSelPaintCell
c03a50	TMEnvEditor.GlobalPanelPaint
c26540	TMEnvEditor.UndoBtnClick
c26560	TMEnvEditor.UndoBtnMouseUp
c00f70	TMEnvEditor.VisModeBtnClick
c171f0	TMEnvEditor.CFEditingBtnClick
c10010	TMEnvEditor.PtTypeInValueMenuClick
c1b940	TMEnvEditor.SaveSample24BitWavMenuClick
bf69e0	TMEnvEditor.AutoZoomBtnClick
c26f40	TMEnvEditor.WheelOnMouseMove
c021f0	TMEnvEditor.EnvAttWheelMouseMove
c0fcb0	TMEnvEditor.PtInvSelMenuClick
c02640	TMEnvEditor.EnvSelAllMenuClick
c02580	TMEnvEditor.EnvInvertSelMenuClick
c02310	TMEnvEditor.EnvDuplicateSelMenuClick
c022f0	TMEnvEditor.EnvDeleteSelMenuClick
c02200	TMEnvEditor.EnvCutSelMenuClick
c13e60	TMEnvEditor.EnvPasteSelMenuClick
c02300	TMEnvEditor.EnvDeselAllMenuClick
c13900	TMEnvEditor.EnvOptionsMenuBeforeIsShortCut
c14410	TMEnvEditor.FocusOnClickMenuClick
c200e0	TMEnvEditor.VocalDenoiseMenuClick
c207e0	TMEnvEditor.DeverbMenuClick
c2b490	TPluginMonitorForm.FormCreate
c2c730	TPluginMonitorForm.PlugGridDrawCell
c2b480	TPluginMonitorForm.FormClose
c2bb20	TPluginMonitorForm.FormResize
c2b9c0	TPluginMonitorForm.FormDestroy
c2ca90	TPluginMonitorForm.FreezeBtnClick
c2c5b0	TPluginMonitorForm.PlugGridMouseDown
c2cab0	TPluginMonitorForm.FindEditChange
c2cb00	TPluginMonitorForm.FindEditEnter
c2cb10	TPluginMonitorForm.FindEditExit
c2cb20	TPluginMonitorForm.FormKeyDown
c2bc50	TPluginMonitorForm.FormShow
c58250	TWAVRenderForm.OkBtnClick
c588c0	TWAVRenderForm.FormCloseQuery
c58740	TWAVRenderForm.CancelBtnClick
c58df0	TWAVRenderForm.FormShow
c59150	TWAVRenderForm.MP3BitrateSliderChange
c598c0	TWAVRenderForm.WAVBoxClick
c59d10	TWAVRenderForm.FormCreate
